Relevamiento disposición final Residuos Generales 2016;;;;;;Aperturas 2017;;;;;Formato;Toneladas;;;;
;;;;;;Cierres 2017/2018;;;;;Express;0;;;;
;;;;;Estimado;;;;;;Hiper;13 384;;;;
;;;;;;;;;;;Market;6 749;;;;
;;;;;;;;;;;Maxi;924;;;;
;;;;;;;;;;;Total general;21 057;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
Local;Tienda;Formato;Región;janv-16;févr-16;mars-16;avr-16;mai-16;juin-16;juil-16;août-16;sept-16;oct-16;nov-16;déc-16;Total
180;180-Río Grande II;Hipermercado;TIERRA FUEGO;9;9;9;9;9;9;9;9;9;9;9;9;108
181;181-Paraná Parque;Market;ENTRE RIOS;4;4;4;4;4;4;4;4;4;4;4;4;48
182;182-Juramento y  Cramer;Market;CAP. FED.;6;6;6;6;6;6;4;4;4;9;9;6;72
183;183-Maschwitz;Hipermercado;GRAN BS. AS.;10;10;10;10;10;10;8;8;8;17;17;5;123
184;184-Sta. Rosa II;Market;LA PAMPA;4;4;4;4;4;4;4;4;4;4;4;4;48
187;187-Escobar;Market;GRAN BS. AS.;5;5;5;5;5;5;4;5;4;7;7;4;61
189;189-Av Corrientes;Market;CAP. FED.;3;3;3;3;3;3;1;1;2;4;4;4;35
191;191-Mar del Plata II;Market;RESTO BS. AS.;5;5;5;5;5;5;5;5;5;5;5;5;60
195;195-OLAZABAL;Market;CAP. FED.;4;4;4;4;4;4;2;2;2;7;7;7;50
196;196-Proxi Av. Corrientes 3651;Express;CAP. FED.; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; -   
197;197-Proxi Av. Corrientes 5260;Express;CAP. FED.; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; -   
198;198-Cabildo Nuñez;Market;CAP. FED.;4;4;4;4;4;4;2;2;2;6;6;4;47
199;199-Proxi Av. Cordoba 1439;Express;CAP. FED.; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; -   
200;200-Proxi Av. Rivadavia 8421;Express;CAP. FED.; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; -   
201;201-Carapachay;Market;GRAN BS. AS.;6;6;6;6;6;6;6;6;6;6;6;6;72
202;202-San Isidro (La Florida);Market;GRAN BS. AS.;6;6;6;6;6;6;6;6;6;6;6;6;72
203;203-Chilavert;Market;GRAN BS. AS.;6;6;6;6;6;6;6;6;6;6;6;6;72
204;204-Olivos (Ugarte);Hipermercado;GRAN BS. AS.;9;9;9;9;9;9;9;9;9;9;9;9;108
205;205-Palomar;Market;GRAN BS. AS.;6;6;6;6;6;6;6;6;6;6;6;6;72
206;206-Bo. 6 (Beruti);Market;CAP. FED.;12;12;12;12;12;12;17;16;15;9;9;10;147
208;208-Campana (centro);Market;RESTO BS. AS.;4;4;4;4;4;4;4;4;4;3;3;4;46
209;209-Martinez (Av. Libertad.);Market;GRAN BS. AS.;6;6;6;6;6;6;6;6;6;6;6;6;72
210;210-Zárate;Hipermercado;RESTO BS. AS.;28;28;28;28;28;28;27;27;24;33;33;24;337
211;211-Martinez (Italia);Market;GRAN BS. AS.;6;6;6;6;6;6;6;6;6;6;6;6;72
212;212-Malaver;Market;GRAN BS. AS.;10;10;10;10;10;10;10;11;8;11;11;10;121
213;213-Proxi Paraguay 919;Express;CAP. FED.; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; -   
214;214-Villa Devoto;Hipermercado;CAP. FED.;11;11;11;11;11;11;8;9;8;14;14;15;134
215;215-Palermo (S. Ortiz);Market;CAP. FED.;13;13;13;13;13;13;12;11;11;16;16;11;155
216;216-Vte Lopez (Maipú);Market;GRAN BS. AS.;20;20;20;20;20;20;43;40;39;10;10;3;263
217;217-Bella Vista;Hipermercado;GRAN BS. AS.;15;15;15;15;15;15;14;12;12;3;3;50;183
218;218-Hurlingham;Market;GRAN BS. AS.;6;6;6;6;6;6;6;6;6;6;6;6;72
219;219-Caballito (D. Alvarez);Hipermercado;CAP. FED.;13;13;13;13;13;13;10;10;11;17;12;17;155
220;220-Villa Urquiza;Hipermercado;CAP. FED.;3;3;3;3;3;3;1;1;1;3;3;4;33
221;221-Tigre;Market;GRAN BS. AS.;6;6;6;6;6;6;6;6;6;6;6;6;72
226;226-Martinez (Edison);Market;GRAN BS. AS.;6;6;6;6;6;6;6;6;6;6;6;6;72
227;227-Bernal;Hipermercado;GRAN BS. AS.;3;3;3;3;3;3;3;3;3;5;5;2;39
228;228-Colegiales (Elcano);Market;CAP. FED.;8;8;8;8;8;8;7;6;7;9;9;8;93
229;229-Pergamino;Hipermercado;RESTO BS. AS.;9;9;9;9;9;9;9;9;9;9;9;9;108
230;230-Coghlan (Av. Congreso);Market;CAP. FED.;2;2;2;2;2;2;2;3;3;3;3;2;28
231;231-Lomas de Zamora;Hipermercado;GRAN BS. AS.;3;3;3;3;3;3;4;3;3;3;3;3;36
232;232-Campana II (Panam);Hipermercado;RESTO BS. AS.;9;9;9;9;9;9;8;7;9;16;12;6;110
233;233-Concordia;Hipermercado;ENTRE RIOS;9;9;9;9;9;9;9;9;9;9;9;9;108
234;234-Don Torcuato;Hipermercado;GRAN BS. AS.;9;9;9;9;9;9;9;9;9;9;9;9;108
235;235-Villa Mercedes;Hipermercado;SAN LUIS;9;9;9;9;9;9;9;9;9;9;9;9;108
237;237-Villa del Parque (Av. Nazca);Market;CAP. FED.;2;2;2;2;2;2;1;1;2;3;3;3;26
239;239-Gral. Pacheco;Hipermercado;GRAN BS. AS.;9;9;9;9;9;9;9;9;9;9;9;9;108
240;240-Gualeguaychú;Hipermercado;ENTRE RIOS;9;9;9;9;9;9;9;9;9;9;9;9;108
241;241-Luján;Hipermercado;RESTO BS. AS.;9;9;9;9;9;9;9;9;9;9;9;9;108
242;242-Proxi Av. Nazca 25;Express;CAP. FED.; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; -   
243;243-Paraná (San Juan);Market;ENTRE RIOS;4;4;4;4;4;4;4;4;4;4;4;4;48
244;244-Paraná (Yrigoyen);Market;ENTRE RIOS;4;4;4;4;4;4;4;4;4;4;4;4;48
247;247-Proxi Av. La Plata 430;Express;CAP. FED.; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; -   
248;248-Proxi Av. Corrientes 3131;Express;CAP. FED.; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; -   
249;249-Paraná (Av. América);Market;ENTRE RIOS;4;4;4;4;4;4;4;4;4;4;4;4;48
250;250-Proxi Pellegrini 587;Express;CAP. FED.; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; -   
251;251-Proxi Arce 730;Express;CAP. FED.; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; -   
252;252-Acasusso (Av. Libertad.);Market;GRAN BS. AS.;6;6;6;6;6;6;6;6;6;6;6;6;72
253;253-Olivos (Av. Maipú);Market;GRAN BS. AS.;6;6;6;6;6;6;6;6;6;6;6;6;72
254;254-San Isidro (Av. D. Carman);Market;GRAN BS. AS.;6;6;6;6;6;6;6;6;6;6;6;6;72
255;255-Pergamino II (El Gurí);Market;RESTO BS. AS.;6;6;6;6;6;6;6;6;6;6;6;6;72
256;256-San Nicolás;Market;RESTO BS. AS.;6;6;6;6;6;6;6;6;6;6;6;6;72
258;258-Va. Pueyrredón (Av. Mosconi);Market;CAP. FED.;6;6;6;6;6;6;6;5;6;6;6;7;73
259;259-Venado Tuerto;Hipermercado;SANTA FE;9;9;9;9;9;9;9;9;9;9;9;9;108
260;260-Proxi Las Heras 2397;Express;CAP. FED.; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; -   
262;262-Paraná JM Paz;Market;ENTRE RIOS;6;6;6;6;6;6;6;6;6;6;6;6;72
263;263-Paraná (Cnel. Díaz);Market;ENTRE RIOS;6;6;6;6;6;6;6;6;6;6;6;6;72
264;264-Paraná (México);Market;ENTRE RIOS;6;6;6;6;6;6;6;6;6;6;6;6;72
265;265-Proxi Angel Gallardo 30;Express;CAP. FED.; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; -   
266;266-Paraná (Don Bosco);Market;ENTRE RIOS;5;5;5;5;5;5;5;5;5;5;5;5;60
268;268-Rosario (centro);Hipermercado;SANTA FE;9;9;9;9;9;9;9;9;9;9;9;9;108
271;271-Belgrano (Av. Monroe);Hipermercado;CAP. FED.;4;4;4;4;4;4;3;3;4;4;4;4;47
272;272-San Fernando;Market;GRAN BS. AS.;7;7;7;7;7;7;8;8;8;8;8;4;85
274;274-Quilmes;Hipermercado;GRAN BS. AS.;15;15;15;15;15;15;11;10;12;16;15;29;183
275;275-Belgrano (F. Lacroze);Market;CAP. FED.;9;9;9;9;9;9;5;6;6;13;12;10;107
277;277-Palermo (Soler);Market;CAP. FED.;6;6;6;6;6;6;5;5;5;7;7;3;69
278;278-Márquez;Market;GRAN BS. AS.;6;6;6;6;6;6;6;6;6;6;6;6;72
282;282-Colon;Market;MENDOZA;4;4;4;4;4;4;4;4;4;4;4;4;48
283;283-Las Heras;Market;MENDOZA;4;4;4;4;4;4;4;4;4;4;4;4;48
284;284-San Martín;Market;MENDOZA;2;2;2;2;2;2;2;2;2;2;2;2;24
285;285-Tunuyan;Market;MENDOZA;5;5;5;5;5;5;5;5;5;5;5;5;60
286;286-Tupungato;Market;MENDOZA;5;5;5;5;5;5;5;5;5;5;5;5;60
287;287-Suipacha;Market;MENDOZA;5;5;5;5;5;5;5;5;5;5;5;5;60
288;288-Sexta;Market;MENDOZA;5;5;5;5;5;5;5;5;5;5;5;5;60
289;289-Luján de 3;Market;MENDOZA;5;5;5;5;5;5;5;5;5;5;5;5;60
290;290-Bombal;Market;MENDOZA;5;5;5;5;5;5;5;5;5;5;5;5;60
291;291-Proxi Piedras 383;Express;CAP. FED.; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; -   
292;292-Av.Polonia;Hipermercado;CHUBUT;9;9;9;9;9;9;9;9;9;9;9;9;108
293;293-Tucumán Express;Market;TUCUMAN;3;3;3;3;3;3;3;3;3;3;3;3;36
294;294-Ituzaingo II;Hipermercado;GRAN BS. AS.;9;9;9;9;9;9;9;9;9;9;9;9;108
295;295-Granaderos;Market;CORDOBA;4;4;4;4;4;4;4;4;4;4;4;4;48
296;296-Olavarria II;Market;RESTO BS. AS.;4;4;4;4;4;4;4;4;4;4;4;4;48
297;297-Gral Rodriguez;Hipermercado;GRAN BS. AS.;9;9;9;9;9;9;9;9;9;9;9;9;108
298;298-Proxi Formosa 565;Express;CAP. FED.; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; -   
299;299-Proxi Arenales 975;Express;CAP. FED.; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; -   
300;300-Proxi Gral Deheza 2239;Express;CAP. FED.; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; S/D ; -   
