Code_Magasin|Magasin|DATE|Rayon|Code Rayon|Famille|Code_Famille|Sous Famille|Code Sous Famille|Code EAN|Libellé Article|CodeDémarque|Libellé Démarque|Poids en kg|Descr Poids en kg|Montant Démarque|Qte Démarque
10046|046 - Tucuman|201605|PLATOS PREPARADOS|01   2   6|MASAS|01   2   6  02  02|PREPIZZAS|01   2   6  02  02  00|7798009620468|PIZZETAS DE TOMATE X 6 UNID.|Vencimiento|VTO|220.00|GRM|-120.49|-8.00
10150|150 - Vidt|201604|SECO|01   1   4|AZUCAR|01   1   4  06  00|AZUCAR COMUN|01   1   4  06  00  01|7792878000017|AZUCAR BLANCA MOLIDA DOMINO BOLSA X 1 KG|Roturas|ROT|1000.00|GRM|-30.57|-4.00
10156|156 - San Nicolas (Tia)|201606|CARNICERIA|01   2   4|MARCA PROPIA|01   2   4  06  01|TROZADO|01   2   4  06  01  01|2308139000006|MUSLO MARCA PROPIA X KG..|Reclasificacion de Stocks|RDS|1000.00|GRM|-87.84|-2.00
10161|161 - Ushuaia|201601|FIAMBRERIA|01   2   0|FIAMBRES Y QUESOS FETEADOS|01   2   0  01  00|JAMON CRUDO|01   2   0  01  00  00|7798029781521|JAMON CRUDO FETEADO SERRANO ESPUNA X 150 GRS|Vencimiento|VTO|150.00|GRM|-727.22|-14.00
10161|161 - Ushuaia|201604|P.A.S.|01   1   5|CREMAS|01   1   5  01  05|CREMAS|01   1   5  01  05  00|7790080033397|CREMA DE LECHE SANTA BRIGIDA POTE X 360 CC|Vencimiento|VTO|360.00|CM3|-20.00|-1.00
10162|162 - Trelew (Hiper)|201602|SECO|01   1   4|YERBAS|01   1   4  02  03|MATE COCIDO|01   1   4  02  03  05|7790387000849|MATE COCIDO EN SAQUITOS TARAGUI X 25 UNI|Roturas|ROT|75.00|GRM|-20.58|-3.00
10125|125 - Parana (Tia)|201603|SECO|01   1   4|PAPAS FRITAS|01   1   4  00  00|SABORIZADAS|01   1   4  00  00  01|7790310005668|PAPAS FRITAS QUESO-CEBOLLA LAYS X 103 GRS|Roturas|ROT|103.00|GRM|-21.72|-1.00
10162|162 - Trelew (Hiper)|201604|SECO|01   1   4|HARINAS DE TRIGO|01   1   4  10  00|LEUDANTE|01   1   4  10  00  02|7790070507228|HARINA LEUDANTE C/VITA ZINC BLANCAFLOR X 1 KG|Roturas|ROT|1000.00|GRM|-9.03|-1.00
10032|032 - Rosario Centro|201605|SECO|01   1   4|GUISEROS|01   1   4  11  01|CODOS|01   1   4  11  01  00|7790070317735|FIDEOS CODITOS RAYADOS FORT FAVORITA X 500 GRS|Roturas|ROT|500.00|GRM|-91.55|-15.00
10062|062 - Champagnat|201603|SECO|01   1   4|DULCES|01   1   4  01  01|GALLETITAS SECAS PAQUETE|01   1   4  01  01  16|7790263110891|GALLETITAS DULCES C/LECHE-MIEL FORTI OKEBON X 165G|Vencimiento|VTO|165.00|GRM|-7.00|-1.00
