site;mois;poids
FRA349;4;3,259
FRA350;4;1,921
FRA351;4;3,91
FRA352;4;9,35
FRA353;4;2,549
FRA354;4;5,438
FRA356;4;2,48
FRA357;4;1,93
FRA358;4;11,84
FRA359;4;4,103
FRA360;4;5,003
FRA365;4;1,059
FRA366;4;1,6038
FRA400;4;1,4256
FRA401;4;1,56
FRA402;4;5,509
FRA403;4;1,702
FRA404;4;4,349
FRA406;4;0,7128
FRA407;4;1,24
FRA408;4;1,4256
FRA001;5;10,17
FRA002;5;4,773
FRA003;5;3,107
FRA004;5;3,78
FRA005;5;12,108
FRA006;5;11,07
FRA007;5;11,2
FRA008;5;6,918
FRA009;5;12,335
FRA010;5;4,6
FRA011;5;8,19
FRA012;5;9,35
FRA013;5;10,08
FRA014;5;2,88
FRA015;5;3,908
FRA016;5;13,487
FRA017;5;6,71
FRA018;5;0,293
FRA019;5;2,957
FRA020;5;4,328
FRA021;5;8,221
FRA022;5;5,08
FRA023;5;15,49
FRA024;5;5,6
FRA025;5;4,5
FRA026;5;4,43
FRA027;5;3,36
FRA028;5;3,42
FRA029;5;13,86
FRA030;5;5,811
FRA031;5;10,08
FRA032;5;5,96
FRA033;5;13,01
FRA034;5;8,67
FRA035;5;16,393
FRA036;5;38,11
FRA037;5;10,68
FRA038;5;7,122
FRA039;5;4,8
FRA041;5;10,49
FRA042;5;5,4
FRA043;5;15,371
FRA044;5;15,975
FRA045;5;17,69
FRA046;5;4,09
FRA047;5;8,961
FRA048;5;3,24
FRA049;5;3,229
FRA050;5;5,15
FRA051;5;8,7
FRA052;5;1,048
FRA053;5;6,48
FRA054;5;10,033
FRA055;5;5,94
FRA056;5;14,02
FRA057;5;13,012
FRA058;5;11,79
FRA059;5;6,367
FRA060;5;8,6
FRA061;5;7,13
FRA062;5;11,06
FRA063;5;11,34
FRA064;5;26,991
FRA066;5;6,57
FRA068;5;5,248
FRA070;5;12,45
FRA071;5;7,579
FRA072;5;2,411
FRA073;5;6,588
FRA075;5;8,04
FRA076;5;7,41
FRA078;5;3,46
FRA079;5;2,88
FRA080;5;12,944
FRA082;5;5,4
FRA083;5;1,42
FRA084;5;2,52
FRA085;5;2,01
FRA086;5;5,85
FRA087;5;7,15
FRA088;5;8,065
FRA089;5;5,2
FRA090;5;5,352
FRA091;5;5,068
FRA092;5;9,548
FRA095;5;6,76
FRA096;5;3,336
FRA097;5;3,54
FRA098;5;10,234
FRA099;5;5,58
FRA100;5;7,58
FRA102;5;8,5
FRA103;5;3,742
FRA104;5;6,26
FRA105;5;5,316
FRA106;5;10,544
FRA107;5;5,97
FRA108;5;4,163
FRA109;5;4,74
FRA110;5;4,94
FRA111;5;5,73
FRA112;5;4,98
FRA113;5;1,8
FRA115;5;28,17
FRA116;5;15,261
FRA117;5;3,655
FRA118;5;13,86
FRA119;5;14,62
FRA120;5;1,476
FRA121;5;2,218
FRA186;5;1,91
FRA190;5;3,07
